%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1494414857160971784,0,1494414857160971784,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857260563349,0,1494414857260563349,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857360584850,0,1494414857360584850,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857460555604,0,1494414857460555604,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857560590339,0,1494414857560590339,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857660632144,0,1494414857660632144,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857760604375,0,1494414857760604375,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857860580198,0,1494414857860580198,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857960534494,0,1494414857960534494,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858060514618,0,1494414858060514618,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858161011359,0,1494414858161011359,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858260540492,0,1494414858260540492,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858360605858,0,1494414858360605858,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858460718837,0,1494414858460718837,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858560577566,0,1494414858560577566,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858660641157,0,1494414858660641157,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858760794392,0,1494414858760794392,gps,0,0,47.39610672,8.64813041687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858860552670,0,1494414858860552670,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858960554517,0,1494414858960554517,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859060549829,0,1494414859060549829,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859160853331,0,1494414859160853331,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859260506601,0,1494414859260506601,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859360528210,0,1494414859360528210,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859460533054,0,1494414859460533054,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859560567087,0,1494414859560567087,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859660565386,0,1494414859660565386,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859760568669,0,1494414859760568669,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859860583604,0,1494414859860583604,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859960546519,0,1494414859960546519,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860060495912,0,1494414860060495912,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860160932459,0,1494414860160932459,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860260559999,0,1494414860260559999,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860360606004,0,1494414860360606004,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860460506124,0,1494414860460506124,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860560527367,0,1494414860560527367,gps,0,0,47.39610672,8.64813137054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
